sample_id	time	replicate	genotype	mean_fluorescence	normalized_substraction_mean_fluorescence
1098	182	2	KMT2D5.6	13001.133	6354.988
1099	183	2	KMT2D5.6	12986.291	6340.146
1100	184	2	KMT2D5.6	12910.423	6264.278
1101	185	2	KMT2D5.6	12827.068	6180.923
1102	186	2	KMT2D5.6	13032.462	6386.317
1103	187	2	KMT2D5.6	13077.939	6431.794
1104	188	2	KMT2D5.6	13350.535	6704.39
1105	189	2	KMT2D5.6	13571.649	6925.504
1106	190	2	KMT2D5.6	13788.255	7142.11
1107	191	2	KMT2D5.6	13981.019	7334.874
1108	192	2	KMT2D5.6	13657.471	7011.326
1109	193	2	KMT2D5.6	13646.623	7000.478
1110	194	2	KMT2D5.6	13830.692	7184.547
1111	195	2	KMT2D5.6	13711.286	7065.141
1112	196	2	KMT2D5.6	13610.862	6964.717
1113	197	2	KMT2D5.6	13667.573	7021.428
1114	198	2	KMT2D5.6	13605.593	6959.448
1115	199	2	KMT2D5.6	13586.644	6940.499
1116	200	2	KMT2D5.6	13851.879	7205.734
1117	201	2	KMT2D5.6	13818.688	7172.543
1118	202	2	KMT2D5.6	13746.861	7100.716
1119	203	2	KMT2D5.6	13704.944	7058.799
1120	204	2	KMT2D5.6	14355.282	7709.137
1121	205	2	KMT2D5.6	14594.633	7948.488
1122	206	2	KMT2D5.6	14195.503	7549.358
1123	207	2	KMT2D5.6	14299.532	7653.387
1124	208	2	KMT2D5.6	14447.723	7801.578
1125	209	2	KMT2D5.6	14373.357	7727.212
1126	210	2	KMT2D5.6	14337.813	7691.668
1127	211	2	KMT2D5.6	14034.461	7388.316
1128	212	2	KMT2D5.6	14107.522	7461.377
1129	213	2	KMT2D5.6	14303.673	7657.528
1130	214	2	KMT2D5.6	14050.5	7404.355
1131	215	2	KMT2D5.6	14334.257	7688.112
1132	216	2	KMT2D5.6	14254.154	7608.009
1133	217	2	KMT2D5.6	14147.639	7501.494
1134	218	2	KMT2D5.6	14274.045	7627.9
1135	219	2	KMT2D5.6	14124.39	7478.245
1136	220	2	KMT2D5.6	14079.996	7433.851
1137	221	2	KMT2D5.6	14030.502	7384.357
1138	222	2	KMT2D5.6	14022.693	7376.548
1139	223	2	KMT2D5.6	13845.033	7198.888
1140	224	2	KMT2D5.6	13570.1	6923.955
1141	225	2	KMT2D5.6	13520.927	6874.782
1142	226	2	KMT2D5.6	13526.532	6880.387
1143	227	2	KMT2D5.6	13470.148	6824.003
1144	228	2	KMT2D5.6	13481.065	6834.92
1145	229	2	KMT2D5.6	13288.873	6642.728
1146	1	3	KMT2D5.6	6330.622	0
1147	2	3	KMT2D5.6	6367.483	36.861
1148	3	3	KMT2D5.6	6367.454	36.832
1149	4	3	KMT2D5.6	6327.458	-3.164
1150	5	3	KMT2D5.6	6448.546	117.924
1151	6	3	KMT2D5.6	6518.066	187.444
1152	7	3	KMT2D5.6	6700.322	369.7
1153	8	3	KMT2D5.6	6732.487	401.865
1154	9	3	KMT2D5.6	6768.254	437.632
1155	10	3	KMT2D5.6	6773.241	442.619
1156	11	3	KMT2D5.6	7004.288	673.666
1157	12	3	KMT2D5.6	7101.05	770.428
1158	13	3	KMT2D5.6	7139.705	809.083
1159	14	3	KMT2D5.6	7290.353	959.731
1160	15	3	KMT2D5.6	7383.896	1053.274
1161	16	3	KMT2D5.6	7471.383	1140.761
1162	17	3	KMT2D5.6	7365.525	1034.903
1163	18	3	KMT2D5.6	7285.645	955.023
1164	19	3	KMT2D5.6	7425.831	1095.209
1165	20	3	KMT2D5.6	7412.754	1082.132
1166	21	3	KMT2D5.6	7491.67	1161.048
1167	22	3	KMT2D5.6	7605.943	1275.321
1168	23	3	KMT2D5.6	7696.327	1365.705
1169	24	3	KMT2D5.6	7783.788	1453.166
1170	25	3	KMT2D5.6	7961.038	1630.416
1171	26	3	KMT2D5.6	8160.776	1830.154
1172	27	3	KMT2D5.6	8241.664	1911.042
1173	28	3	KMT2D5.6	8287.443	1956.821
1174	29	3	KMT2D5.6	8552.162	2221.54
1175	30	3	KMT2D5.6	8444.385	2113.763
1176	31	3	KMT2D5.6	8524.842	2194.22
1177	32	3	KMT2D5.6	8564.465	2233.843
1178	33	3	KMT2D5.6	8468.671	2138.049
1179	34	3	KMT2D5.6	8535.107	2204.485
1180	35	3	KMT2D5.6	8511.373	2180.751
1181	36	3	KMT2D5.6	8709.476	2378.854
1182	37	3	KMT2D5.6	8449.271	2118.649
1183	38	3	KMT2D5.6	8496.564	2165.942
1184	39	3	KMT2D5.6	8490.539	2159.917
1185	40	3	KMT2D5.6	8462.948	2132.326
1186	41	3	KMT2D5.6	8672.135	2341.513
1187	42	3	KMT2D5.6	8651.18	2320.558
1188	43	3	KMT2D5.6	8557.051	2226.429
1189	44	3	KMT2D5.6	8615.147	2284.525
1190	45	3	KMT2D5.6	8680.466	2349.844
1191	46	3	KMT2D5.6	8667.098	2336.476
1192	47	3	KMT2D5.6	8603.246	2272.624
1193	48	3	KMT2D5.6	8517.637	2187.015
1194	49	3	KMT2D5.6	8731.389	2400.767
1195	50	3	KMT2D5.6	8603.083	2272.461
1196	51	3	KMT2D5.6	8541.925	2211.303
1197	52	3	KMT2D5.6	8598.683	2268.061
1198	53	3	KMT2D5.6	8596.28	2265.658
1199	54	3	KMT2D5.6	8582.1	2251.478
1200	55	3	KMT2D5.6	8434.169	2103.547
1201	56	3	KMT2D5.6	8730.357	2399.735
1202	57	3	KMT2D5.6	8582.565	2251.943
1203	58	3	KMT2D5.6	8706.409	2375.787
1204	59	3	KMT2D5.6	8494.563	2163.941
1205	60	3	KMT2D5.6	8457.1	2126.478
1206	61	3	KMT2D5.6	8492.914	2162.292
1207	62	3	KMT2D5.6	8526.704	2196.082
1208	63	3	KMT2D5.6	8657.268	2326.646
1209	64	3	KMT2D5.6	8745.888	2415.266
1210	65	3	KMT2D5.6	8795.849	2465.227
1211	66	3	KMT2D5.6	8709.41	2378.788
1212	67	3	KMT2D5.6	8923.329	2592.707
1213	68	3	KMT2D5.6	8789.598	2458.976
1214	69	3	KMT2D5.6	8806.757	2476.135
1215	70	3	KMT2D5.6	8951.856	2621.234
1216	71	3	KMT2D5.6	8906.271	2575.649
1217	72	3	KMT2D5.6	8848.992	2518.37
1218	73	3	KMT2D5.6	8930.184	2599.562
1219	74	3	KMT2D5.6	9018.827	2688.205
1220	75	3	KMT2D5.6	9103.999	2773.377
1221	76	3	KMT2D5.6	9233.626	2903.004
1222	77	3	KMT2D5.6	9416.164	3085.542
1223	78	3	KMT2D5.6	9292.25	2961.628
1224	79	3	KMT2D5.6	9542.747	3212.125
1225	80	3	KMT2D5.6	9523.479	3192.857
1226	81	3	KMT2D5.6	9616.015	3285.393
1227	82	3	KMT2D5.6	9593.042	3262.42
1228	83	3	KMT2D5.6	9750.769	3420.147
1229	84	3	KMT2D5.6	9748.558	3417.936
1230	85	3	KMT2D5.6	9683.577	3352.955
1231	86	3	KMT2D5.6	10041.369	3710.747
1232	87	3	KMT2D5.6	9939.583	3608.961
1233	88	3	KMT2D5.6	9806.986	3476.364
1234	89	3	KMT2D5.6	9845.771	3515.149
1235	90	3	KMT2D5.6	9870.455	3539.833
1236	91	3	KMT2D5.6	10048.906	3718.284
1237	92	3	KMT2D5.6	10169.857	3839.235
1238	93	3	KMT2D5.6	10204.385	3873.763
1239	94	3	KMT2D5.6	10254.22	3923.598
1240	95	3	KMT2D5.6	10315.004	3984.382
1241	96	3	KMT2D5.6	10467.615	4136.993
1242	97	3	KMT2D5.6	10476.959	4146.337
1243	98	3	KMT2D5.6	10482.106	4151.484
1244	99	3	KMT2D5.6	10622.464	4291.842
1245	100	3	KMT2D5.6	10494.925	4164.303
1246	101	3	KMT2D5.6	10480.526	4149.904
1247	102	3	KMT2D5.6	10472.199	4141.577
1248	103	3	KMT2D5.6	10595.247	4264.625
1249	104	3	KMT2D5.6	10925.969	4595.347
1250	105	3	KMT2D5.6	10818.162	4487.54
1251	106	3	KMT2D5.6	10806.011	4475.389
1252	107	3	KMT2D5.6	10910.738	4580.116
1253	108	3	KMT2D5.6	11052.49	4721.868
1254	109	3	KMT2D5.6	11103.9	4773.278
1255	110	3	KMT2D5.6	11271.213	4940.591
1256	111	3	KMT2D5.6	11111.792	4781.17
1257	112	3	KMT2D5.6	11237.005	4906.383
1258	113	3	KMT2D5.6	11025.638	4695.016
1259	114	3	KMT2D5.6	11057.216	4726.594
1260	115	3	KMT2D5.6	11090.636	4760.014
1261	116	3	KMT2D5.6	11126.859	4796.237
1262	117	3	KMT2D5.6	11212.906	4882.284
1263	118	3	KMT2D5.6	11100.773	4770.151
1264	119	3	KMT2D5.6	10975.031	4644.409
1265	120	3	KMT2D5.6	11034.1	4703.478
1266	121	3	KMT2D5.6	11083.238	4752.616
1267	122	3	KMT2D5.6	11002.131	4671.509
1268	123	3	KMT2D5.6	11157.652	4827.03
1269	124	3	KMT2D5.6	11281.227	4950.605
1270	125	3	KMT2D5.6	11265.898	4935.276
1271	126	3	KMT2D5.6	11448.182	5117.56
1272	127	3	KMT2D5.6	11150.717	4820.095
1273	128	3	KMT2D5.6	10917.57	4586.948
1274	129	3	KMT2D5.6	11192.029	4861.407
1275	130	3	KMT2D5.6	11111.874	4781.252
1276	131	3	KMT2D5.6	11143.805	4813.183
1277	132	3	KMT2D5.6	11012.358	4681.736
1278	133	3	KMT2D5.6	11188.655	4858.033
1279	134	3	KMT2D5.6	11081.179	4750.557
1280	135	3	KMT2D5.6	11116.298	4785.676
1281	136	3	KMT2D5.6	11125.055	4794.433
1282	137	3	KMT2D5.6	11174.585	4843.963
1283	138	3	KMT2D5.6	11202.422	4871.8
1284	139	3	KMT2D5.6	11099.485	4768.863
1285	140	3	KMT2D5.6	11172.515	4841.893
1286	141	3	KMT2D5.6	11308.294	4977.672
1287	142	3	KMT2D5.6	11406.3	5075.678
1288	143	3	KMT2D5.6	11593.707	5263.085
1289	144	3	KMT2D5.6	11581.827	5251.205
1290	145	3	KMT2D5.6	12105.455	5774.833
1291	146	3	KMT2D5.6	11910.157	5579.535
1292	147	3	KMT2D5.6	12133.512	5802.89
1293	148	3	KMT2D5.6	12194.684	5864.062
1294	149	3	KMT2D5.6	12139.184	5808.562
1295	150	3	KMT2D5.6	12080.532	5749.91
1296	151	3	KMT2D5.6	12364.721	6034.099
1297	152	3	KMT2D5.6	12638.592	6307.97
1298	153	3	KMT2D5.6	12514.883	6184.261
1299	154	3	KMT2D5.6	12598.592	6267.97
1300	155	3	KMT2D5.6	12790.958	6460.336
1301	156	3	KMT2D5.6	12891.159	6560.537
1302	157	3	KMT2D5.6	12883.89	6553.268
1303	158	3	KMT2D5.6	12896.376	6565.754
1304	159	3	KMT2D5.6	12941.104	6610.482
1305	160	3	KMT2D5.6	13113.049	6782.427
1306	161	3	KMT2D5.6	13243.145	6912.523
1307	162	3	KMT2D5.6	12832.076	6501.454
1308	163	3	KMT2D5.6	12677.061	6346.439
1309	164	3	KMT2D5.6	12598.657	6268.035
1310	165	3	KMT2D5.6	12770.586	6439.964
1311	166	3	KMT2D5.6	12885.519	6554.897
1312	167	3	KMT2D5.6	12997.4	6666.778
1313	168	3	KMT2D5.6	13164.774	6834.152
1314	169	3	KMT2D5.6	12867.154	6536.532
1315	170	3	KMT2D5.6	13133.399	6802.777
1316	171	3	KMT2D5.6	12983.366	6652.744
1317	172	3	KMT2D5.6	13227.823	6897.201
1318	173	3	KMT2D5.6	13353.151	7022.529
1319	174	3	KMT2D5.6	13142.081	6811.459
1320	175	3	KMT2D5.6	13267.475	6936.853
1321	176	3	KMT2D5.6	13320.536	6989.914
1322	177	3	KMT2D5.6	13206.417	6875.795
1323	178	3	KMT2D5.6	13157.652	6827.03
1324	179	3	KMT2D5.6	13398.532	7067.91
1325	180	3	KMT2D5.6	13239.167	6908.545
1326	181	3	KMT2D5.6	13590.874	7260.252
1327	182	3	KMT2D5.6	13981.934	7651.312
1328	183	3	KMT2D5.6	14096.551	7765.929
1329	184	3	KMT2D5.6	14242.394	7911.772
1330	185	3	KMT2D5.6	14465.687	8135.065
1331	186	3	KMT2D5.6	14376.906	8046.284
1332	187	3	KMT2D5.6	14462.684	8132.062
1333	188	3	KMT2D5.6	14614.501	8283.879
1334	189	3	KMT2D5.6	14402.68	8072.058
1335	190	3	KMT2D5.6	14536.5	8205.878
1336	191	3	KMT2D5.6	14722.459	8391.837
1337	192	3	KMT2D5.6	14631.042	8300.42
1338	193	3	KMT2D5.6	14683.624	8353.002
1339	194	3	KMT2D5.6	14978.501	8647.879
1340	195	3	KMT2D5.6	15268.453	8937.831
1341	196	3	KMT2D5.6	15137.507	8806.885
1342	197	3	KMT2D5.6	15431.342	9100.72
1343	198	3	KMT2D5.6	15038.835	8708.213
1344	199	3	KMT2D5.6	15356.084	9025.462
1345	200	3	KMT2D5.6	15684.545	9353.923
1346	201	3	KMT2D5.6	15506.505	9175.883
1347	202	3	KMT2D5.6	15418.865	9088.243
1348	203	3	KMT2D5.6	15431.598	9100.976
1349	204	3	KMT2D5.6	15077.063	8746.441
1350	205	3	KMT2D5.6	15322.854	8992.232
1351	206	3	KMT2D5.6	15218.415	8887.793
1352	207	3	KMT2D5.6	15588.46	9257.838
1353	208	3	KMT2D5.6	15697.366	9366.744
1354	209	3	KMT2D5.6	15731.083	9400.461
1355	210	3	KMT2D5.6	15704.856	9374.234
1356	211	3	KMT2D5.6	15512.791	9182.169
1357	212	3	KMT2D5.6	15722.972	9392.35
1358	213	3	KMT2D5.6	15866.947	9536.325
1359	214	3	KMT2D5.6	15444.501	9113.879
1360	215	3	KMT2D5.6	15745.14	9414.518
1361	216	3	KMT2D5.6	15725.59	9394.968
1362	217	3	KMT2D5.6	15713.698	9383.076
1363	218	3	KMT2D5.6	15687.557	9356.935
1364	219	3	KMT2D5.6	15653.54	9322.918
1365	220	3	KMT2D5.6	16087.566	9756.944
1366	221	3	KMT2D5.6	15854.075	9523.453
1367	222	3	KMT2D5.6	15496.298	9165.676
1368	223	3	KMT2D5.6	15663.1	9332.478
1369	224	3	KMT2D5.6	15819.136	9488.514
1370	225	3	KMT2D5.6	15859.494	9528.872
1371	226	3	KMT2D5.6	15838.911	9508.289
1372	227	3	KMT2D5.6	15904.905	9574.283
1373	228	3	KMT2D5.6	15964.036	9633.414
1374	229	3	KMT2D5.6	16292.634	9962.012
1375	1	1	KMT2D10.1	922.588	0
1376	2	1	KMT2D10.1	924.323	1.735
1377	3	1	KMT2D10.1	924.22	1.632
1378	4	1	KMT2D10.1	924.746	2.158
1379	5	1	KMT2D10.1	924.791	2.203
1380	6	1	KMT2D10.1	926.103	3.515
1381	7	1	KMT2D10.1	926.915	4.327
1382	8	1	KMT2D10.1	928.472	5.884
1383	9	1	KMT2D10.1	927.606	5.018
1384	10	1	KMT2D10.1	929.07	6.482
1385	11	1	KMT2D10.1	928.623	6.035
1386	12	1	KMT2D10.1	926.409	3.821
1387	13	1	KMT2D10.1	927.879	5.291
1388	14	1	KMT2D10.1	927.937	5.349
1389	15	1	KMT2D10.1	929.683	7.095
1390	16	1	KMT2D10.1	929.037	6.449
1391	17	1	KMT2D10.1	929.559	6.971
1392	18	1	KMT2D10.1	930.597	8.009
1393	19	1	KMT2D10.1	931.539	8.951
1394	20	1	KMT2D10.1	931.516	8.928
1395	21	1	KMT2D10.1	930.324	7.736
1396	22	1	KMT2D10.1	931.002	8.414
1397	23	1	KMT2D10.1	931.763	9.175
1398	24	1	KMT2D10.1	932.795	10.207
1399	25	1	KMT2D10.1	933.818	11.23
1400	26	1	KMT2D10.1	934.439	11.851
1401	27	1	KMT2D10.1	934.043	11.455
1402	28	1	KMT2D10.1	933.115	10.527
1403	29	1	KMT2D10.1	935.212	12.624
1404	30	1	KMT2D10.1	934.549	11.961
1405	31	1	KMT2D10.1	942.692	20.104
1406	32	1	KMT2D10.1	935.241	12.653
1407	33	1	KMT2D10.1	936.954	14.366
1408	34	1	KMT2D10.1	938.106	15.518
1409	35	1	KMT2D10.1	939.679	17.091
1410	36	1	KMT2D10.1	939.968	17.38
1411	37	1	KMT2D10.1	942.02	19.432
1412	38	1	KMT2D10.1	942.123	19.535
1413	39	1	KMT2D10.1	943.579	20.991
1414	40	1	KMT2D10.1	943.526	20.938
1415	41	1	KMT2D10.1	946.125	23.537
1416	42	1	KMT2D10.1	945.511	22.923
1417	43	1	KMT2D10.1	943.947	21.359
1418	44	1	KMT2D10.1	945.968	23.38
1419	45	1	KMT2D10.1	944.063	21.475
1420	46	1	KMT2D10.1	946.32	23.732
1421	47	1	KMT2D10.1	945.632	23.044
1422	48	1	KMT2D10.1	946.18	23.592
1423	49	1	KMT2D10.1	947.66	25.072
1424	50	1	KMT2D10.1	950.075	27.487
1425	51	1	KMT2D10.1	950.572	27.984
1426	52	1	KMT2D10.1	950.407	27.819
1427	53	1	KMT2D10.1	950.061	27.473
1428	54	1	KMT2D10.1	952.191	29.603
1429	55	1	KMT2D10.1	951.373	28.785
1430	56	1	KMT2D10.1	952.871	30.283
1431	57	1	KMT2D10.1	951.241	28.653
1432	58	1	KMT2D10.1	954.862	32.274
1433	59	1	KMT2D10.1	955.187	32.599
1434	60	1	KMT2D10.1	954.556	31.968
1435	61	1	KMT2D10.1	954.277	31.689
1436	62	1	KMT2D10.1	956.96	34.372
1437	63	1	KMT2D10.1	955.179	32.591
1438	64	1	KMT2D10.1	956.05	33.462
1439	65	1	KMT2D10.1	956.868	34.28
1440	66	1	KMT2D10.1	959.173	36.585
1441	67	1	KMT2D10.1	957.029	34.441
1442	68	1	KMT2D10.1	961.64	39.052
1443	69	1	KMT2D10.1	960.381	37.793
1444	70	1	KMT2D10.1	958.772	36.184
1445	71	1	KMT2D10.1	962.508	39.92
1446	72	1	KMT2D10.1	962.624	40.036
1447	73	1	KMT2D10.1	963.96	41.372
1448	74	1	KMT2D10.1	964.552	41.964
1449	75	1	KMT2D10.1	966.543	43.955
1450	76	1	KMT2D10.1	965.38	42.792
1451	77	1	KMT2D10.1	963.646	41.058
1452	78	1	KMT2D10.1	966.136	43.548
1453	79	1	KMT2D10.1	964.257	41.669
1454	80	1	KMT2D10.1	963.919	41.331
1455	81	1	KMT2D10.1	966.64	44.052
1456	82	1	KMT2D10.1	967.695	45.107
1457	83	1	KMT2D10.1	969.472	46.884
1458	84	1	KMT2D10.1	969.666	47.078
1459	85	1	KMT2D10.1	972.675	50.087
1460	86	1	KMT2D10.1	967.382	44.794
1461	87	1	KMT2D10.1	970.589	48.001
1462	88	1	KMT2D10.1	971.992	49.404
1463	89	1	KMT2D10.1	971.558	48.97
1464	90	1	KMT2D10.1	970.757	48.169
1465	91	1	KMT2D10.1	971.862	49.274
1466	92	1	KMT2D10.1	976.139	53.551
1467	93	1	KMT2D10.1	973.933	51.345
1468	94	1	KMT2D10.1	974.562	51.974
1469	95	1	KMT2D10.1	976.298	53.71
1470	96	1	KMT2D10.1	976.321	53.733
1471	97	1	KMT2D10.1	975.291	52.703
1472	98	1	KMT2D10.1	976.211	53.623
1473	99	1	KMT2D10.1	972.304	49.716
1474	100	1	KMT2D10.1	974.178	51.59
1475	101	1	KMT2D10.1	976.087	53.499
1476	102	1	KMT2D10.1	977.495	54.907
1477	103	1	KMT2D10.1	977.739	55.151
1478	104	1	KMT2D10.1	981.153	58.565
1479	105	1	KMT2D10.1	980.777	58.189
1480	106	1	KMT2D10.1	978.301	55.713
1481	107	1	KMT2D10.1	979.788	57.2
1482	108	1	KMT2D10.1	983.157	60.569
1483	109	1	KMT2D10.1	983.135	60.547
1484	110	1	KMT2D10.1	985.511	62.923
1485	111	1	KMT2D10.1	985.84	63.252
1486	112	1	KMT2D10.1	981.681	59.093
1487	113	1	KMT2D10.1	985.797	63.209
1488	114	1	KMT2D10.1	986.006	63.418
1489	115	1	KMT2D10.1	988.039	65.451
1490	116	1	KMT2D10.1	987.771	65.183
1491	117	1	KMT2D10.1	989.794	67.206
1492	118	1	KMT2D10.1	992.839	70.251
1493	119	1	KMT2D10.1	992.784	70.196
1494	120	1	KMT2D10.1	991.909	69.321
1495	121	1	KMT2D10.1	992.939	70.351
1496	122	1	KMT2D10.1	993.637	71.049
1497	123	1	KMT2D10.1	995.632	73.044
1498	124	1	KMT2D10.1	995.325	72.737
1499	125	1	KMT2D10.1	994.879	72.291
1500	126	1	KMT2D10.1	996.871	74.283
1501	127	1	KMT2D10.1	997.993	75.405
1502	128	1	KMT2D10.1	1000.956	78.368
1503	129	1	KMT2D10.1	1000.869	78.281
1504	130	1	KMT2D10.1	1001.478	78.89
1505	131	1	KMT2D10.1	1000.278	77.69
1506	132	1	KMT2D10.1	1001.652	79.064
1507	133	1	KMT2D10.1	1002.88	80.292
1508	134	1	KMT2D10.1	1001.482	78.894
1509	135	1	KMT2D10.1	1001.695	79.107
1510	136	1	KMT2D10.1	1001.951	79.363
1511	137	1	KMT2D10.1	999.727	77.139
1512	138	1	KMT2D10.1	1004.538	81.95
1513	139	1	KMT2D10.1	999.051	76.463
1514	140	1	KMT2D10.1	1000.571	77.983
1515	141	1	KMT2D10.1	1001.877	79.289
1516	142	1	KMT2D10.1	1003.247	80.659
1517	143	1	KMT2D10.1	1001.473	78.885
1518	144	1	KMT2D10.1	1005.492	82.904
1519	145	1	KMT2D10.1	1002.48	79.892
1520	146	1	KMT2D10.1	1002.816	80.228
1521	147	1	KMT2D10.1	1004.365	81.777
1522	148	1	KMT2D10.1	1005.596	83.008
1523	149	1	KMT2D10.1	1007.309	84.721
1524	150	1	KMT2D10.1	1006.041	83.453
1525	151	1	KMT2D10.1	1009.039	86.451
1526	152	1	KMT2D10.1	1008.766	86.178
1527	153	1	KMT2D10.1	1009.144	86.556
1528	154	1	KMT2D10.1	1007.311	84.723
1529	155	1	KMT2D10.1	1010.88	88.292
1530	156	1	KMT2D10.1	1002.505	79.917
1531	157	1	KMT2D10.1	1005.576	82.988
1532	158	1	KMT2D10.1	1006.05	83.462
1533	159	1	KMT2D10.1	1005.839	83.251
1534	160	1	KMT2D10.1	1003.521	80.933
1535	161	1	KMT2D10.1	1006.773	84.185
1536	162	1	KMT2D10.1	1008.291	85.703
1537	163	1	KMT2D10.1	1010.843	88.255
1538	164	1	KMT2D10.1	1012.804	90.216
1539	165	1	KMT2D10.1	1013.173	90.585
1540	166	1	KMT2D10.1	1012.294	89.706
1541	167	1	KMT2D10.1	1013.438	90.85
1542	168	1	KMT2D10.1	1013.261	90.673
1543	169	1	KMT2D10.1	1012.213	89.625
1544	170	1	KMT2D10.1	1015.628	93.04
1545	171	1	KMT2D10.1	1015.91	93.322
1546	172	1	KMT2D10.1	1010.512	87.924
1547	173	1	KMT2D10.1	1013.996	91.408
1548	174	1	KMT2D10.1	1014.013	91.425
1549	175	1	KMT2D10.1	1014.504	91.916
1550	176	1	KMT2D10.1	1015.667	93.079
1551	177	1	KMT2D10.1	1014.69	92.102
1552	178	1	KMT2D10.1	1016.065	93.477
1553	179	1	KMT2D10.1	1018.947	96.359
1554	180	1	KMT2D10.1	1020.283	97.695
1555	181	1	KMT2D10.1	1019.893	97.305
1556	182	1	KMT2D10.1	1020.556	97.968
1557	183	1	KMT2D10.1	1022.597	100.009
1558	184	1	KMT2D10.1	1020.858	98.27
1559	185	1	KMT2D10.1	1022.568	99.98
1560	186	1	KMT2D10.1	1023.794	101.206
1561	187	1	KMT2D10.1	1024.005	101.417
1562	188	1	KMT2D10.1	1024.8	102.212
1563	189	1	KMT2D10.1	1024.589	102.001
1564	190	1	KMT2D10.1	1022.015	99.427
1565	191	1	KMT2D10.1	1014.801	92.213
1566	192	1	KMT2D10.1	1019.956	97.368
1567	193	1	KMT2D10.1	1019.317	96.729
1568	194	1	KMT2D10.1	1023.894	101.306
1569	195	1	KMT2D10.1	1025.077	102.489
1570	196	1	KMT2D10.1	1022.824	100.236
1571	197	1	KMT2D10.1	1020.176	97.588
1572	198	1	KMT2D10.1	1022.212	99.624
1573	199	1	KMT2D10.1	1024.85	102.262
1574	200	1	KMT2D10.1	1026.627	104.039
1575	201	1	KMT2D10.1	1023.655	101.067
1576	202	1	KMT2D10.1	1025.046	102.458
1577	203	1	KMT2D10.1	1026.911	104.323
1578	204	1	KMT2D10.1	1026.596	104.008
1579	205	1	KMT2D10.1	1028.69	106.102
1580	206	1	KMT2D10.1	1030.54	107.952
1581	207	1	KMT2D10.1	1032.406	109.818
1582	208	1	KMT2D10.1	1035.932	113.344
1583	209	1	KMT2D10.1	1035.66	113.072
1584	210	1	KMT2D10.1	1038.998	116.41
1585	211	1	KMT2D10.1	1040.433	117.845
1586	212	1	KMT2D10.1	1029.299	106.711
1587	213	1	KMT2D10.1	1032.591	110.003
1588	214	1	KMT2D10.1	1031.221	108.633
1589	215	1	KMT2D10.1	1034.433	111.845
1590	216	1	KMT2D10.1	1035.181	112.593
1591	217	1	KMT2D10.1	1036.949	114.361
1592	218	1	KMT2D10.1	1038.984	116.396
1593	219	1	KMT2D10.1	1030.328	107.74
1594	220	1	KMT2D10.1	1037.044	114.456
1595	221	1	KMT2D10.1	1036.654	114.066
1596	222	1	KMT2D10.1	1035.81	113.222
1597	223	1	KMT2D10.1	1039.755	117.167
1598	224	1	KMT2D10.1	1037.798	115.21
1599	225	1	KMT2D10.1	1039.088	116.5
1600	226	1	KMT2D10.1	1040.554	117.966
1601	227	1	KMT2D10.1	1041.974	119.386
1602	228	1	KMT2D10.1	1043.236	120.648
1603	229	1	KMT2D10.1	1041.469	118.881
1604	1	2	KMT2D10.1	979.223	0
1605	2	2	KMT2D10.1	983.303	4.08
1606	3	2	KMT2D10.1	987.128	7.905
1607	4	2	KMT2D10.1	987.313	8.09
1608	5	2	KMT2D10.1	995.53	16.307
1609	6	2	KMT2D10.1	998.504	19.281
1610	7	2	KMT2D10.1	1004.94	25.717
1611	8	2	KMT2D10.1	1003.477	24.254
1612	9	2	KMT2D10.1	1010.225	31.002
1613	10	2	KMT2D10.1	1012.672	33.449
1614	11	2	KMT2D10.1	1016.853	37.63
1615	12	2	KMT2D10.1	1035.219	55.996
1616	13	2	KMT2D10.1	1034.457	55.234
1617	14	2	KMT2D10.1	1035.998	56.775
1618	15	2	KMT2D10.1	1027.343	48.12
1619	16	2	KMT2D10.1	1040.327	61.104
1620	17	2	KMT2D10.1	1044.755	65.532
1621	18	2	KMT2D10.1	1037.101	57.878
1622	19	2	KMT2D10.1	1049.288	70.065
1623	20	2	KMT2D10.1	1048.943	69.72
1624	21	2	KMT2D10.1	1054.358	75.135
1625	22	2	KMT2D10.1	1062.624	83.401
1626	23	2	KMT2D10.1	1066.264	87.041
1627	24	2	KMT2D10.1	1069.05	89.827
1628	25	2	KMT2D10.1	1064.282	85.059
1629	26	2	KMT2D10.1	1072.117	92.894
1630	27	2	KMT2D10.1	1074.05	94.827
1631	28	2	KMT2D10.1	1068.357	89.134
1632	29	2	KMT2D10.1	1070.6	91.377
1633	30	2	KMT2D10.1	1083.03	103.807
1634	31	2	KMT2D10.1	1078.134	98.911
1635	32	2	KMT2D10.1	1080.22	100.997
1636	33	2	KMT2D10.1	1074.001	94.778
1637	34	2	KMT2D10.1	1082.264	103.041
1638	35	2	KMT2D10.1	1080.318	101.095
1639	36	2	KMT2D10.1	1090.917	111.694
1640	37	2	KMT2D10.1	1089.344	110.121
1641	38	2	KMT2D10.1	1098.876	119.653
1642	39	2	KMT2D10.1	1092.853	113.63
1643	40	2	KMT2D10.1	1093.322	114.099
1644	41	2	KMT2D10.1	1090.713	111.49
1645	42	2	KMT2D10.1	1094.012	114.789
1646	43	2	KMT2D10.1	1110.978	131.755
1647	44	2	KMT2D10.1	1105.421	126.198
1648	45	2	KMT2D10.1	1123.513	144.29
1649	46	2	KMT2D10.1	1115.702	136.479
1650	47	2	KMT2D10.1	1127.485	148.262
